ENERGY_SERVICE,Usage Charges - Service To Property Charge
EXTRA_CHARGES,Other Charges and Credits - NSW- AUS Gov Energy Relief
ENERGY_OTHER,Other Charges and Credits - Unaccounted for Energy
ENERGY_LINE_ITEMS,Usage Charges - Anytime - step 1
DISCOUNTS,SERVICE CHARGES - 31% Discount- Usage and Daily Charges
EXTRA_CHARGES,SERVICE CHARGES - NSW- AUS Gov Energy Relief
OTHER_CHARGES,USAGE CHARGES - Adjust for Rounding
ENERGY_LINE_ITEMS,USAGE CHARGES - Anytime
ENERGY_LINE_ITEMS,USAGE CHARGES - Controlled Load
ENERGY_LINE_ITEMS,USAGE CHARGES - Off Peak
ENERGY_LINE_ITEMS,USAGE CHARGES - Peak - step 1
ENERGY_SOLAR,USAGE CHARGES - Solar
ENERGY_LINE_ITEMS,USAGE CHARGES - Peak - step 2
ENERGY_LINE_ITEMS,USAGE CHARGES - Any Time - step 1
ENERGY_LINE_ITEMS,USAGE CHARGES - Any Time - step 2
ENERGY_LINE_ITEMS,USAGE CHARGES - Any Time - step 3
EXTRA_CHARGES,SERVICE CHARGES - Invoice Postal Fee
ENERGY_LINE_ITEMS,USAGE CHARGES - Peak
DISCOUNTS,Other Charges and Credits - 8% Discount- Usage and Daily Charges
OTHER_CHARGES,Other Charges and Credits - Adjust for Rounding
ENERGY_LINE_ITEMS,Usage Charges - Controlled Load 6+ hours within any 24 hour period
ENERGY_LINE_ITEMS,Usage Charges - Off Peak All other times
ENERGY_LINE_ITEMS,Usage Charges - Peak Mon-Fri 2pm-8pm
ENERGY_LINE_ITEMS,"Usage Charges - Shoulder Mon-Fri 7am-2pm, 8pm-10pm"
ENERGY_SOLAR,"Usage Charges - Solar All day, everyday"
ENERGY_OTHER,SERVICE CHARGES - Unaccounted For Energy - NMI: 45080305098
ENERGY_OTHER,SERVICE CHARGES - Unaccounted For Energy - NMI: 45080306228
ENERGY_OTHER,SERVICE CHARGES - Unaccounted For Energy - NMI: 45080331144
ENERGY_SOLAR,USAGE CHARGES - Solar*
DEMANDS,Network Usage Charges - Max Demand Mon-Fri 4pm-9pm
DISCOUNTS,Other Charges and Credits - 5% Discount- Usage and Daily Charges
METERING,Other Charges and Credits - Metering Charge
ENERGY_LINE_ITEMS,"Usage Charges - Anytime All day, everyday"
ENERGY_SOLAR,"Usage Charges - Feed-in Tariff All day, everyday"
ENERGY_LINE_ITEMS,Usage Charges - Peak - step 1 Mon-Fri 2pm-8pm
DISCOUNTS,Other Charges and Credits - 12% Discount- Usage and Daily Charges
CERTIFICATES,Environmental Charges - RET (STCs & LGCs)
CERTIFICATES,Environmental Charges - VRET Charge
DEMANDS,Network Usage Charges - Demand Mon-Fri 10am-6pm
NETWORK_SERVICE,Network Usage Charges - Network Daily Charge (Cost)
NETWORK_LINE_ITEMS,Network Usage Charges - Off Peak
NETWORK_LINE_ITEMS,Network Usage Charges - Peak
MARKET,Other Charges and Credits - AEMO ancillary charge
MARKET,Other Charges and Credits - AEMO pool fees
ENERGY_SERVICE,Retail Usage Charges - Daily Charge
ENERGY_LINE_ITEMS,Retail Usage Charges - Off Peak All other times
ENERGY_LINE_ITEMS,Retail Usage Charges - Peak Mon-Fri 7am-10pm
ENERGY_SOLAR,"Retail Usage Charges - Solar All day, everyday"
DEMANDS,Network Usage Charges - Max Demand Mon-Fri 3pm-9pm
METERING,Retail Usage Charges - Metering Charge
EXTRA_CHARGES,Adjustment Details - Adjustment to LREC/SREC charges due to finalisation of RPP 17.91% and STP 13.89% - 8000003154
EXTRA_CHARGES,Adjustment Details - Adjustment to LREC/SREC charges due to finalisation of RPP 17.91% and STP 13.89% - 8000291331
EXTRA_CHARGES,Adjustment Details - Adjustment to LREC/SREC charges due to finalisation of RPP 17.91% and STP 13.89% - 8000293940
EXTRA_CHARGES,Adjustment Details - Adjustment to LREC/SREC charges due to finalisation of RPP 17.91% and STP 13.89% - 8000294743
EXTRA_CHARGES,Adjustment Details - Adjustment to LREC/SREC charges due to finalisation of RPP 17.91% and STP 13.89% - 8000298002
EXTRA_CHARGES,Adjustment Details - Adjustment to LREC/SREC charges due to finalisation of RPP 17.91% and STP 13.89% - 8000301368
EXTRA_CHARGES,Adjustment Details - Adjustment to LREC/SREC charges due to finalisation of RPP 17.91% and STP 13.89% - 8000302806
EXTRA_CHARGES,Adjustment Details - Adjustment to LREC/SREC charges due to finalisation of RPP 17.91% and STP 13.89% - 8590300762
DEMANDS,Network Charges - TAS82 - Demand Rate up to 250kVA
NETWORK_LINE_ITEMS,Network Charges - TAS82 - Peak
NETWORK_SERVICE,Network Charges - TAS82 - Supply Charge
CERTIFICATES,Environmental Schemes - LRECs
NETWORK_LINE_ITEMS,Environmental Schemes - RECO Renewable Energy 82.09%
CERTIFICATES,Environmental Schemes - SRECs
MARKET,Market Operator Charges - AEMO Ancillary Fee & UFE
MARKET,Market Operator Charges - AEMO Market Fee
MARKET,Market Operator Charges - AEMO Market Fee TAS
DEMANDS,Network Charges - TAS89 - Demand Off Peak
DEMANDS,Network Charges - TAS89 - Demand Peak
NETWORK_SERVICE,Network Charges - TAS89 - Supply Charge
ENERGY_LINE_ITEMS,Retail Charges - TAS Off Peak
ENERGY_LINE_ITEMS,Retail Charges - TAS Peak
ENERGY_LINE_ITEMS,Current Electricity Usage - Anytime
ENERGY_SERVICE,Current Electricity Usage - Daily Fixed Charge
DISCOUNTS,Current Electricity Usage - Loyalty Discount Elec 4%
DISCOUNTS,Current Electricity Usage - Multi-Connect Discount Elec 3%
ENERGY_LINE_ITEMS,Current Electricity Usage - Plus Low Anytime
ENERGY_SERVICE,Current Electricity Usage - Plus Low Daily Fixed
DISCOUNTS,Current Electricity Usage - eBill Discount Elec 1%
ENERGY_LINE_ITEMS,A Current Electricity Usage - Plus Low Anytime
ENERGY_SERVICE,A Current Electricity Usage - Plus Low Daily Fixed
DISCOUNTS,A Current Electricity Usage - eBill Discount Elec 1%
EXTRA_CHARGES,Late Payment Interest Charge August 2021
CERTIFICATES,Market Charges - V.E.E.C. Charges
CERTIFICATES,Market Charges - VEECs adjustment charges
DEMANDS,Network Charges - Off Peak Demand Charge
DEMANDS,Network Charges - Peak Demand Charge
ENERGY_LINE_ITEMS,Energy Charges - Shoulder Energy
EXTRA_CHARGES,Late Payment Interest Charges - Late Payment Interest Charge June 2021
EXTRA_CHARGES,Late Payment Interest Charges - Late Payment Interest Charge May 2021
CERTIFICATES,Market Charges - E.S.C. Charges
NETWORK_LINE_ITEMS,Network Charges - Anytime Energy
METERING,Other Charges - Meter Charge - 2 Meter(s)
DEMANDS,Network Charges - Rolling Peak Demand
OTHER_CHARGES,Meter Additions and Alterations
OTHER_CHARGES,ADJUSTMENTS - Meter Additions and Alterations
EXTRA_CHARGES,Small Business Commonwealth Energy Bill Relief (2025 Offset)
EXTRA_CHARGES,Overdue Notice Fee
ENERGY_SERVICE,L2 Small Business - Supply Charge from 16/8/2025
ENERGY_LINE_ITEMS,"L2 Small Business - 6,774.4 units @ 29.3102 cents per unit from 16/8/2025"
EXTRA_CHARGES,"Adjustments - Trf To 206801213 75 O'SULLIVAN CCT EAST ARM, NT 0828"
ENERGY_OTHER,Concessions - NT Government - Water
ENERGY_LINE_ITEMS,Water - 16N000094 Normal
ENERGY_SERVICE,Water - Supply Charge
ENERGY_LINE_ITEMS,Electricity Charges - All Usage
ENERGY_SERVICE,Electricity Charges - Service Fee
ENERGY_LINE_ITEMS,Tariff 11 - Residential Flat Rate (General Domestic) - All Usage
ENERGY_SERVICE,Tariff 11 - Residential Flat Rate (General Domestic) - Service Fee
ENERGY_LINE_ITEMS,Tariff 31 Night Rate (Super Economy) - All Usage
ENERGY_SERVICE,Tariff 31 Night Rate (Super Economy) - Service Fee
OTHER_CHARGES,Other Charges & Credits - Queensland Govt Cost of Living Rebate
METERING,Other Charges & Credits - Meter Services Charge
OTHER_CHARGES,Other Charges & Credits - Reversal of Cancelled Bill 322306656812 (24/04/23 to 03/07/23)
OTHER_CHARGES,Other Charges & Credits - Reversal of Cancelled Bill 322306656812 (31/03/23 to 03/07/23)
ENERGY_LINE_ITEMS,Tariff 33 Controlled Supply (Economy) - All Usage
ENERGY_SERVICE,Tariff 33 Controlled Supply (Economy) - Service Fee
OTHER_CHARGES,Other Charges & Credits - QLD AUS Small Business Energy Relief Rebate
OTHER_CHARGES,Other Charges & Credits - Reversal of Cancelled Bill 482146322257
OTHER_CHARGES,Consolidated Site Invoice
DEMANDS,Electricity Charges - Demand Charge for Tariff 44
ENERGY_LINE_ITEMS,Tariff 20 Business General Supply - All Usage
ENERGY_SERVICE,Tariff 20 Business General Supply - Service Fee
OTHER_CHARGES,Other Charges & Credits - Reversal of Cancelled Bill 482178798541 (03/07/23 to 04/10/23)
OTHER_CHARGES,Other Charges & Credits - Reversal of Cancelled Bill 482811239107 (04/10/23 to 03/01/24)
OTHER_CHARGES,Other Charges & Credits - Reversal of Cancelled Bill 482932416962
ENERGY_LINE_ITEMS,Tariff 44 Business Over 100MWh per Annum (Demand Small) - All Usage
ENERGY_SERVICE,Tariff 44 Business Over 100MWh per Annum (Demand Small) - Service Fee
EXTRA_CHARGES,Other Charges & Credits - Call out fee Business hours
ENERGY_LINE_ITEMS,Tariff 20 Business General Supply (01/07/23 - 31/07/23) - All Usage
ENERGY_SERVICE,Tariff 20 Business General Supply (01/07/23 - 31/07/23) - Service Fee
ENERGY_LINE_ITEMS,Tariff 20 Business General Supply (05/07/23 - 07/08/23) - All Usage
ENERGY_SERVICE,Tariff 20 Business General Supply (05/07/23 - 07/08/23) - Service Fee
ENERGY_LINE_ITEMS,Tariff 44 Business Over 100MWh per Annum (Demand Small) (01/07/23 - 31/07/23) - All Usage
ENERGY_SERVICE,Tariff 44 Business Over 100MWh per Annum (Demand Small) (01/07/23 - 31/07/23) - Service Fee
EXTRA_CHARGES,Previous Balance and Payments - Interest Charges 12.63% 6 days
EXTRA_CHARGES,Interest Charges 12.63% 6 days
ENERGY_LINE_ITEMS,Energy Charges - Gas Charge
MARKET,Market Charges - DWGM Charges
MARKET,Market Charges - ECA Charges
MARKET,Market Charges - GSOO Charges
MARKET,Market Charges - VIC FRC Gas Charges
NETWORK_LINE_ITEMS,Network Charges - Cross System Charge
METERING,Network Charges - Meter Charge
NETWORK_LINE_ITEMS,Network Charges - Network Charge
DEMANDS,Network Charges - Peak Injection Charge
NETWORK_OTHER,Network Charges - Withdrawal Charge
CERTIFICATES,Other Charges - VEET Charge
OTHER_CHARGES,Other Charges - Volume Adjustments
CERTIFICATES,Other Charges - VEET Rate Adj. Cal 24
OTHER_CHARGES,Other Charges - UAFG Adjustment (Cal23 H2)
ENERGY_LINE_ITEMS,Energy Charges - Gas Over-run Charge
MARKET,Market Charges - Other Charges
OTHER_CHARGES,Additional Regulatory Charge
ENERGY_LINE_ITEMS,Grid Consumed
EXTRA_CHARGES,Other charges - Late Payment Charge - Elec
DEMANDS,Network Charges - Excess Demand
NETWORK_SERVICE,Network Charges - NUOS Supply Charge
DEMANDS,Network Charges - Specified Demand
ENERGY_LINE_ITEMS,Energy charges - Off-Peak - Business Time of Use - Tariff 94
ENERGY_LINE_ITEMS,Energy charges - Peak - Business Time of Use - Tariff 94
ENERGY_LINE_ITEMS,Energy charges - Shoulder - Business Time of Use - Tariff 94
ENERGY_SERVICE,Supply charges - Supply Charge - Business Time of Use - Tariff 94
CERTIFICATES,Environmental Charges - SRES Default $/Cert
METERING,Metering Charges - MC Metering Charge
ENERGY_LINE_ITEMS,Energy charges - Monthly kVA demand low voltage - Tariff 82
ENERGY_SERVICE,Supply charges - Supply Charge - Monthly kVA demand low voltage - Tariff 82
OTHER_CHARGES,ADJUSTMENTS - Invoice adjustment for period
SERVICE_OTHER,Trade Waste - Trade Waste Charge
SEWERAGE_SERVICE,Wastewater - Sewer Service
SEWERAGE_LINE_ITEMS,Wastewater - Wastewater usage rate
ENERGY_LINE_ITEMS,Water - 3.27 per kL 3604 kL
ENERGY_SERVICE,Water - Water Service
OTHER_CHARGES,ADJUSTMENTS - Invoice adjustment for period 2025-01-01 to 2025-01-31
NETWORK_SERVICE,NETWORK CHARGES (BLNT1AO) - Network Access Charge
NETWORK_LINE_ITEMS,NETWORK CHARGES (BLNT1AO) - Off Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (BLNT1AO) - Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (BLNT1AO) - Shoulder Energy
ENERGY_LINE_ITEMS,July 2025 - June 2026 - Air Conditioning Flat Tariff
EXTRA_CHARGES,Other charges/adjustments - Late Payment Fee (gst free)
ENERGY_LINE_ITEMS,Small Business Ergon ERGNT20 - Business Energy_Flat Rate
ENERGY_SERVICE,Small Business Ergon ERGNT20 - Daily Supply Charge
EXTRA_CHARGES,Details of Additional Transactions - Optima Charge
ENERGY_SERVICE,Gas Charges - Daily Service Charge
ENERGY_LINE_ITEMS,Gas Charges - Gas Consumption Charge
CERTIFICATES,ENVIRONMENTAL CHARGES - Environment Fee ESS (10.50%)
CERTIFICATES,ENVIRONMENTAL CHARGES - Environment Fee LREC (17.91%)
CERTIFICATES,ENVIRONMENTAL CHARGES - Environment Fee SREC (13.89%)
EXTRA_CHARGES,Demand Undercharge May and July 2025
EXTRA_CHARGES,Change of Tariff - July 2025
EXTRA_CHARGES,Change of Tariff Reconfiguration
EXTRA_CHARGES,Change of Tariff Reconfiguration - April 2025
ENERGY_OTHER,Nightwatch 250W non-LED
ENERGY_LINE_ITEMS,7600 : Broken Hill - Residential
ENERGY_SERVICE,7600 : Water Availability - 20mm
SEWERAGE_SERVICE,7608 : Sewer Availability
ENERGY_OTHER,Night Vision Medium LED - Contract
ENERGY_SERVICE,Night Vision Medium LED - Monthly service
ENERGY_SERVICE,7609 : Water Availability - 20mm
ENERGY_LINE_ITEMS,7623 : Broken Hill Commercial
SEWERAGE_LINE_ITEMS,7647 : Sewer Usage Charge
SEWERAGE_SERVICE,7658 : Sewer Availability - 20mm
SEWERAGE_SERVICE,7758 : Sewer Discharge Factor - 0.95
SEWERAGE_SERVICE,7795 : Sewer Discharge Factor - 0.95
ENERGY_OTHER,N/Watch 1 x 400W Exg Pole
ENERGY_SERVICE,SLUOS Bracket Capital
ENERGY_SERVICE,SLUOS Bracket Maintenance
ENERGY_SERVICE,SLUOS Luminaire Capital
ENERGY_SERVICE,SLUOS Luminaire Maintenance
ENERGY_SERVICE,SLUOS Support Capital
ENERGY_SERVICE,SLUOS Support Maintenance
ENERGY_OTHER,Night Vision >250W<=400W
ENERGY_OTHER,Night Vision up to & incl 400W
ENERGY_OTHER,Nightwatch 400W non-LED
ENERGY_LINE_ITEMS,water charges - BrokenHill Exempt Filtered Use
SEWERAGE_SERVICE,water charges - Sewer Discharge Factor - 0.95
SEWERAGE_LINE_ITEMS,water charges - Sewer Usage Charge
OTHER_CHARGES,DMA Service Fee
EXTRA_CHARGES,ADJUSTMENTS - January 2025 Unaccounted for Energy Adjustment
EXTRA_CHARGES,ADJUSTMENTS - Retail Charge Adjustment for SRES in January
NETWORK_LINE_ITEMS,NETWORK CHARGES (ND1) - Anytime Energy
NETWORK_SERVICE,NETWORK CHARGES (ND1) - Fixed
NETWORK_SERVICE,NETWORK CHARGES (CGTOU) - Fixed
NETWORK_LINE_ITEMS,NETWORK CHARGES (CGTOU) - Off Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (CGTOU) - Peak Energy
EXTRA_CHARGES,ADJUSTMENTS - July 2024 Unaccounted for Energy Adjustment
METERING,METERING AND OTHER CHARGES - Metering Charge (x2.00)
ENERGY_SOLAR,GENERATION CREDITS - Solar Credits - RFIT
NETWORK_SERVICE,NETWORK CHARGES (NASN21) - Fixed
NETWORK_LINE_ITEMS,NETWORK CHARGES (NASN21) - Off Peak Energy
DEMANDS,NETWORK CHARGES (NASN21) - Off Peak Monthly Demand 28-Nov-30-Nov
NETWORK_LINE_ITEMS,NETWORK CHARGES (NASN21) - Peak Energy
DEMANDS,NETWORK CHARGES (NASN21) - Peak Monthly Demand 01-Dec-31-Dec
NETWORK_LINE_ITEMS,NETWORK CHARGES (C1G) - Anytime Energy
NETWORK_SERVICE,NETWORK CHARGES (C1G) - Fixed
OTHER_CHARGES,ACCOUNT CREDITS - GSL Payment - Interruption to Supply 31.12.2023 per Distributor.
EXTRA_CHARGES,ADJUSTMENTS - Jan 2024 SRES Charge Adjustment
EXTRA_CHARGES,ADJUSTMENTS - Unaccounted for Energy Adjustment from 01/04/2023 to 31/12/2023
NETWORK_SERVICE,NETWORK CHARGES (NAST12) - Fixed
NETWORK_LINE_ITEMS,NETWORK CHARGES (NAST12) - Off Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (NAST12) - Peak Energy
EXTRA_CHARGES,ADJUSTMENTS - March 2024 Unaccounted for Energy Adjustment
OTHER_CHARGES,ACCOUNT CREDITS - GSL Payment
MARKET,Market Direction Compensation Charge
MARKET,Other Charges and Credits - Market Direction Compensation Charge
OTHER_CHARGES,Other Charges and Credits - DMA Service Fee
ENERGY_SERVICE,Current Natural Gas Usage - Daily Fixed Charge
DISCOUNTS,Current Natural Gas Usage - Direct Debit Discount Gas 1%
DISCOUNTS,Current Natural Gas Usage - Loyalty Discount Gas 4%
DISCOUNTS,Current Natural Gas Usage - Multi-Connect Discount Gas 3%
ENERGY_LINE_ITEMS,Current Natural Gas Usage - Variable Charge
ENERGY_LINE_ITEMS,A Current Electricity Usage - PowerFreeze Anytime
ENERGY_SERVICE,A Current Electricity Usage - PowerFreeze Daily Fixed Charge
EXTRA_CHARGES,D Other Transactions - ELEC STD DECOMMISSION
DISCOUNTS,D Other Transactions - Prompt Payment Discount
ENERGY_LINE_ITEMS,Energy charges - General Use - Tariff 22
OTHER_CHARGES,Other charges - Australian Government Energy Bill Relief
ENERGY_SERVICE,Supply charges - Supply Charge - General Use - Tariff 22
ENERGY_LINE_ITEMS,Electricity Charges - Off Peak Energy
MARKET,Market Charges - AEMO Ancillary Services
MARKET,Market Charges - AEMO Market Fees
NETWORK_LINE_ITEMS,Network Charges - All Energy
DEMANDS,Network Charges - Monthly kVA demand low voltage - Tariff 82
NETWORK_SERVICE,Network Charges - Service Charge
NETWORK_LINE_ITEMS,Network Charges - Shoulder Energy
NETWORK_SERVICE,Network Charges - Supply charge
METERING,Metering Charges - Meter Charges - Adjustment
CERTIFICATES,Environmental Charges - LRET - Adjustment - 01 JAN 2025 to 31 JAN 2025
CERTIFICATES,Environmental Charges - SRES - Adjustment - 01 JAN 2025 to 31 JAN 2025
MARKET,Market Charges - AEMO Unaccounted for Energy
DEMANDS,Network Charges - Business ToU Demand Off Peak
DEMANDS,Network Charges - Business ToU Demand Peak
EXTRA_CHARGES,Other Items - Backdated UFE for the period Mar24 - Jul24. Actual usage of 81.92MWh x AEMO UFE cost at 1.584c/kWh
ENERGY_LINE_ITEMS,Energy charges - Off-peak with afternoon boost period - Tariff 61
ENERGY_LINE_ITEMS,Supply charges - Supply Charge - Off-peak with afternoon boost period - Tariff 61
EXTRA_CHARGES,Extend Metering Service - Meter Reconfiguration February
OTHER_CHARGES,Service Order (Special Read)
ENERGY_SERVICE,Supply Charges - Daily Charge
ENERGY_LINE_ITEMS,Supply Charges - Off Peak
ENERGY_LINE_ITEMS,Supply Charges - Peak
EXTRA_CHARGES,Demand Overcharge Credit (GST Incl)
DEMANDS,Supply Charges - Off-Peak Demand (KW/Mth)
DEMANDS,Supply Charges - Peak Demand (KW/Mth)
DEMANDS,Demand Charges - DUOS Demand (kVA/Mth)
DEMANDS,Demand Charges - TUOS Demand (kVA/Mth)
METERING,Metering Charges - Metering Charge
NETWORK_SERVICE,Network Charges - DUOS Network Daily Charge (Cost)
NETWORK_LINE_ITEMS,Network Charges - DUOS Peak
NETWORK_SERVICE,Network Charges - TUOS Network Daily Charge (Cost)
NETWORK_LINE_ITEMS,Network Charges - TUOS Peak
MARKET,Other Industry Charges - AEMO Connection Point Fee
MARKET,Other Industry Charges - AEMO ancillary charge
MARKET,Other Industry Charges - AEMO pool fees
CERTIFICATES,Other Industry Charges - LRET
CERTIFICATES,Other Industry Charges - SREC
ENERGY_SERVICE,Supply Charges - Energy Charges - Daily Charge
ENERGY_LINE_ITEMS,Supply Charges - Energy Charges - Off Peak
ENERGY_LINE_ITEMS,Supply Charges - Energy Charges - Peak
OTHER_CHARGES,"Service Order (Special Read), NMI: QB075590546"
DEMANDS,Supply Charges - Non-Summer Demand (KW/Day)
DEMANDS,Demand Charges - Rolling Demand (kVA/Day)
EXTRA_CHARGES,VIC-AUS Gov Bill Relief
ENERGY_LINE_ITEMS,Supply Charges - Off Peak - step 1
EXTRA_CHARGES,Late Fee Interest
NETWORK_SERVICE,Network Charges - Network Daily Charge (Cost)
CERTIFICATES,Other Industry Charges - VEET
ENERGY_LINE_ITEMS,Supply Charges - Shoulder
GREEN,Supply Charges - 100% Green Product
DEMANDS,Demand Charges - Rolling Demand (kVA/Mth)
OTHER_CHARGES,"Service Order (Special Read), NMI: 41037138351"
EXTRA_CHARGES,PDRS FY25' Charge NMI 41030251573
CAPACITIES,Supply Charges - Demand Charges - Capacity (kVA/Day)
ENERGY_LINE_ITEMS,Supply Charges - Energy Charges - Shoulder
METERING,Supply Charges - Metering Charges - Metering Charge
NETWORK_SERVICE,Supply Charges - Network Charges - Network Daily Charge (Cost)
NETWORK_LINE_ITEMS,Supply Charges - Network Charges - Off Peak
NETWORK_LINE_ITEMS,Supply Charges - Network Charges - Peak
MARKET,Supply Charges - Other Industry Charges - AEMO Connection Point Fee
MARKET,Supply Charges - Other Industry Charges - AEMO ancillary charge
MARKET,Supply Charges - Other Industry Charges - AEMO pool fees
CERTIFICATES,Supply Charges - Other Industry Charges - LRET
CERTIFICATES,Supply Charges - Other Industry Charges - NSW ESS Charge
CERTIFICATES,Supply Charges - Other Industry Charges - SREC
EXTRA_CHARGES,UFE Charge Jan - Jun NMI 41030251573
ENERGY_LINE_ITEMS,Supply Charges - Peak - step 1
DEMANDS,Demand Charges - Anytime Demand (kVA/Day)
DEMANDS,Demand Charges - Peak Demand (kVA/Day)
CERTIFICATES,Other Industry Charges - REPS
DEMANDS,Supply Charges - Non-Summer Demand (KW/Mth)
OTHER_CHARGES,"Service Order (Special Read), NMI: 44071657242"
ENERGY_LINE_ITEMS,Supply Charges - Energy
DEMANDS,Supply Charges - Demand Charges - Anytime Demand (kVA/Day)
DEMANDS,Supply Charges - Demand Charges - Peak Demand (kVA/Day)
ENERGY_LINE_ITEMS,Supply Charges - Energy Charges - Solar
CERTIFICATES,Supply Charges - Other Industry Charges - REPS
METERING,Supply Charges - Metering Charge
DEMANDS,Supply Charges - DUOS Peak Demand (KW/Mth)
DEMANDS,Supply Charges - TUOS Peak Demand (KW/Mth)
CAPACITIES,Network Charges - Daily Capacity Charge
DEMANDS,Network Charges - Demand High Season
OTHER_CHARGES,Other Charges - P.R.C. Charges FY2025
ENERGY_LINE_ITEMS,Energy Charges - Spot Price Energy Anytime
ENERGY_OTHER,Energy Charges - Spot Price Management Fee
CERTIFICATES,Market Charges - L.R.E.T Charges
CERTIFICATES,Market Charges - R.E.P.S. Charges
CERTIFICATES,Market Charges - S.R.E.S. Charges
DEMANDS,Network Charges - Anytime Demand Charge
DEMANDS,Network Charges - Peak Demand
METERING,Other Charges - Meter Charge - 1 Meter(s)
ENERGY_SERVICE,Other Charges - Retail Service
ENERGY_SERVICE,Electricity Account - Daily Supply Charge
ENERGY_LINE_ITEMS,Electricity Account - Off Peak (30/06/25 - 31/07/25)
ENERGY_LINE_ITEMS,Electricity Account - Peak (30/06/25 - 31/07/25)
GREEN,Electricity Account - 100% Green Energy Charge - step 1
DEMANDS,Demand Charges - Max Demand (kW)
METERING,Energy Charges - Metering Fee
NETWORK_LINE_ITEMS,Network Charges - Off Peak
NETWORK_LINE_ITEMS,Network Charges - Peak
MARKET,Other Charges - AEMO Ancillary Charge
MARKET,Other Charges - AEMO Pool Fee
CERTIFICATES,Other Charges - LREC/T
CERTIFICATES,Other Charges - SREC/T
CERTIFICATES,Other Charges - VEEC/ESC
ENERGY_SERVICE,Electricity Account - Daily Supply Charge (29/04/25 - 28/05/25)
ENERGY_LINE_ITEMS,Electricity Account - Off Peak (29/04/25 - 28/05/25)
ENERGY_LINE_ITEMS,Electricity Account - Peak (29/04/25 - 28/05/25)
ENERGY_LINE_ITEMS,Electricity Account - Off Peak (05/02/25 - 28/02/25)
ENERGY_LINE_ITEMS,Electricity Account - Peak (05/02/25 - 28/02/25)
ENERGY_LINE_ITEMS,Electricity Account - Off Peak (31/07/25 - 31/08/25)
ENERGY_LINE_ITEMS,Electricity Account - Peak (31/07/25 - 29/08/25)
CERTIFICATES,ADJUSTMENTS - 2025 LGC Washup (RPP% Adjustment)
CERTIFICATES,ADJUSTMENTS - 2025 STC Washup (STP% Adjustment)
MARKET,ADJUSTMENTS - Jul 2024 - AEMO Global Settlements LGC Washup
MARKET,ADJUSTMENTS - Jul 2024 - AEMO Global Settlements STC Washup
MARKET,ADJUSTMENTS - Jul 2024 - AEMO Global Settlements Washup
NETWORK_SERVICE,NETWORK CHARGES (7400) - DUoS Connection Asset Value
DEMANDS,NETWORK CHARGES (7400) - DUoS Demand kVA
NETWORK_SERVICE,NETWORK CHARGES (7400) - DUoS Excess kVA
NETWORK_SERVICE,NETWORK CHARGES (7400) - DUoS NonCont Conn Asset Value
NETWORK_LINE_ITEMS,NETWORK CHARGES (7400) - DUoS Volume Charge
NETWORK_SERVICE,NETWORK CHARGES (7400) - Jurisdictional Scheme Fixed Charge
NETWORK_LINE_ITEMS,NETWORK CHARGES (7400) - Jurisdictional Scheme Volume Charge
DEMANDS,NETWORK CHARGES (7400) - TUoS Demand kVA
NETWORK_SERVICE,NETWORK CHARGES (7400) - TUoS Excess kVA
NETWORK_LINE_ITEMS,NETWORK CHARGES (7400) - TUoS Volume Charge
NETWORK_SERVICE,NETWORK CHARGES (EBTOUECT3) - DUoS Inclining Fixed Charge
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTOUECT3) - DUoS Off Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTOUECT3) - DUoS Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTOUECT3) - DUoS Shoulder Energy
NETWORK_SERVICE,NETWORK CHARGES (EBTOUECT3) - Jurisdictional Scheme Fixed
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTOUECT3) - Jurisdictional Scheme Volume
NETWORK_SERVICE,NETWORK CHARGES (EBTOUECT3) - TUoS Inclining Fixed Charge
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTOUECT3) - TUoS Off Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTOUECT3) - TUoS Peak Energy
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTOUECT3) - TUoS Shoulder Energy
OTHER_CHARGES,ADJUSTMENTS - Jul - Dec 2024 - Market Charges Rec (ASC)
MARKET,ADJUSTMENTS - Jun 2024 - AEMO Global Settlements LGC Washup
MARKET,ADJUSTMENTS - Jun 2024 - AEMO Global Settlements STC Washup
MARKET,ADJUSTMENTS - Jun 2024 - AEMO Global Settlements Washup
DEMANDS,NETWORK CHARGES (8300) - DUoS Demand kVA
NETWORK_OTHER,NETWORK CHARGES (8300) - DUoS Flat Energy
NETWORK_SERVICE,NETWORK CHARGES (8300) - DUoS Network Access Charge
NETWORK_SERVICE,NETWORK CHARGES (8300) - Jurisdictional Scheme Fixed Charge
NETWORK_LINE_ITEMS,NETWORK CHARGES (8300) - Jurisdictional Scheme Volume Charge
DEMANDS,NETWORK CHARGES (8300) - TUoS Demand kVA
NETWORK_OTHER,NETWORK CHARGES (8300) - TUoS Flat Energy
